iso,country,PACOVW.2012,biome_1,biome_2,biome_3,biome_4,biome_5,biome_6,biome_7,biome_8,biome_9,biome_10,biome_11,biome_12,biome_13,biome_14,share_1,share_2,share_3,share_4,share_5,share_6,share_7,share_8,share_9,share_10,share_11,share_12,share_13,share_14
SPM,Saint Pierre and Miquelon,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,0.483407676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,6.449858072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,13.49174066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,Serbia,16.84972592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,12.30832228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,5.588286449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,4.839454667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,Slovakia,15.48786689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,1.436399461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,0.605332769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,South Africa,7.245041357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,6.171793444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,Spain,7.83896071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,16.51330114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSE,State of Palestine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,0.477189732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,14.26239006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJM,Svalbard and Jan Mayen Islands,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,2.960385718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,Sweden,8.552116517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,Switzerland,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,0.556911184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWN,Taiwan,11.50033283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,5.769485866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,Tanzania,16.9530913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,8.777780361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,Timor-Leste,8.65171757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,11.28969964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKL,Tokelau,7.978363759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,16.52389732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,15.64837796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,3.197953009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,2.437886355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,3.728995722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,16.94880747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,3.303303303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,15.06165671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,3.80709556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,16.0829487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States of America,10.16842743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIR,United States Virgin Islands,15.69376769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,0.456422255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZB,Uzbekistan,3.950162263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,4.137046428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,Venezuela,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,Viet Nam,3.598520656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLF,Wallis and Futuna Islands,0.197018454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESH,Western Sahara,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,Yemen,0.558893633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,16.82391738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,-99.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
