iso,country,pacovw_2012,biome_1,biome_2,biome_3,biome_4,biome_5,biome_6,biome_7,biome_8,biome_9,biome_10,biome_11,biome_12,biome_13,biome_14,share_1,share_2,share_3,share_4,share_5,share_6,share_7,share_8,share_9,share_10,share_11,share_12,share_13,share_14
NRU,Nauru,-99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TCA,Turks and Caicos Islands,16.94880747,-1,-1,0.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.56,-1,-1,0.000457396074146524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00183017030258832
ETH,Ethiopia,14.09901534,-1,-1,-1,-1,-1,-1,0.21,-1,0,0.12,-1,-1,0.17,-1,-1,-1,-1,-1,-1,-1,0.0386486921499394,-1,0.000676000113975386,0.0537056322831428,-1,-1,0.00232134454471288,-1
PRI,Puerto Rico,13.93208565,0.05,0.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.000382083833553066,0.000421895054975401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000674007015006726
SVN,Slovenia,17,-1,-1,-1,0.53,0.54,-1,-1,-1,-1,-1,-1,0.61,-1,-1,-1,-1,-1,0.00116712757870413,0.000920086511660074,-1,-1,-1,-1,-1,-1,0.000477697456203822,-1,-1
ABW,Aruba,0.037547859,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.41474755668104e-07,0.000438496344374557
BEN,Benin,16.7935989,0.01,-1,-1,-1,-1,-1,0.24,-1,-1,-1,-1,-1,-1,-1,7.39443459534678e-05,-1,-1,-1,-1,-1,0.0054917977827591,-1,-1,-1,-1,-1,-1,-1
GRL,Greenland,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0579326219552456,-1,-1,-1
COK,Cook Islands,1.300628492,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.16747257713437e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HTI,Haiti,0.469009431,0,0,0.01,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0.000873011861066359,0.00197487070935584,0.00457353924300957,-1,-1,-1,-1,-1,0.000191304115262055,-1,-1,-1,-1,0.00171876600216787
VAT,Holy See,-99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
KEN,Kenya,11.85976402,0.18,-1,-1,-1,-1,-1,0.14,-1,0.65,0.57,-1,-1,0.05,0.06,0.00389848402610716,-1,-1,-1,-1,-1,0.0194528859274547,-1,0.000103918734674993,0.000355797916689489,-1,-1,0.00342865701816644,0.0083325027957613
MAR,Morocco,2.113997473,-1,-1,-1,-1,0.2,-1,-1,-1,0,0.07,-1,0.01,0.05,-1,-1,-1,-1,-1,0.00267932046024806,-1,-1,-1,0.00032396264726345,0.00129472767226396,-1,0.0956598507278727,0.0124702217309548,-1
PAK,Pakistan,8.688930992,-1,-1,0.05,0.07,0.04,-1,-1,-1,0.25,0.02,-1,-1,0.11,0.38,-1,-1,0.0123478394087512,0.000200795513273686,0.00577754195757939,-1,-1,-1,0.00290955149446582,0.00960610923374663,-1,-1,0.0253055254919855,0.00846568207296679
FRO,Faeroe Islands,-99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SGP,Singapore,4.839454667,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.41982026948207e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PSE,State of Palestine,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00157522487018918,4.14436151656886e-05,-1
SJM,Svalbard and Jan Mayen Islands,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00734499026020217,-1,-1,-1
MAC,Macao,-99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NZL,New Zealand,14.32588173,-1,-1,-1,0.29,-1,-1,-1,0.03,-1,0.42,0.82,-1,-1,-1,-1,-1,-1,0.0136901126334067,-1,-1,-1,0.0052756352135013,-1,0.00822912119411927,8.66467066411133e-05,-1,-1,-1
NIC,Nicaragua,15.62423295,0.52,0.1,0.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.62,0.00353009374092958,0.00809817268587789,0.0316005119688842,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0126043573323179
NER,Niger,11.87083573,-1,-1,-1,-1,-1,-1,0.09,-1,0,-1,-1,-1,0.21,-1,-1,-1,-1,-1,-1,-1,0.0266233272107762,-1,0.00285548788206258,-1,-1,-1,0.0225731314364725,-1
PRY,Paraguay,5.348540446,0.03,-1,-1,-1,-1,-1,0.06,-1,0.06,-1,-1,-1,-1,-1,0.00440095633552843,-1,-1,-1,-1,-1,0.0150059323417939,-1,0.00191251281403261,-1,-1,-1,-1,-1
RUS,Russia,10.92783815,-1,-1,-1,0.08,0.13,0.09,-1,0.05,0.08,0.21,0.16,-1,0.13,-1,-1,-1,-1,0.132404187362062,0.108048739909553,0.607032448475745,-1,0.148311703863029,0.0811281847065873,0.0176770173276964,0.449762853717666,-1,0.00386667556243405,-1
TUR,Turkey,2.437886355,-1,-1,-1,0.02,0.02,-1,-1,0.01,-1,-1,-1,0.03,-1,-1,-1,-1,-1,0.0238551774371756,0.0247877448518107,-1,-1,0.0104501819804857,-1,-1,-1,0.0834784136177936,-1,-1
ZMB,Zambia,17,-1,0.2,-1,-1,-1,-1,0.36,-1,0.44,0.23,-1,-1,-1,-1,-1,0.0116464490659976,-1,-1,-1,-1,0.0304702978352762,-1,0.074731589422472,0.000270430651709413,-1,-1,-1,-1
ALB,Albania,9.700232103,-1,-1,-1,0.14,-1,-1,-1,-1,-1,-1,-1,0.1,-1,-1,-1,-1,-1,0.000201387004053923,-1,-1,-1,-1,-1,-1,-1,0.00819415303437399,-1,-1
BOL,Bolivia,15.58845592,0.17,0.14,-1,-1,-1,-1,0.21,-1,0.54,-1,-1,-1,-1,-1,0.0286334200957761,0.0786379282936594,-1,-1,-1,-1,0.0122358411616124,-1,0.0294515696064956,-1,-1,-1,-1,-1
GUM,Guam,17,-1,0.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000182510572202682,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SLV,El Salvador,0.67730783,0.04,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,5.1171191322765e-05,0.00272721863295827,0.0147767664094056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00191751765264651
DEU,Germany,17,-1,-1,-1,0.44,0.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0275926929688612,0.000842673215199153,-1,-1,-1,-1,-1,-1,-1,-1,-1
MDG,Madagascar,3.072160179,0.03,0.03,-1,-1,-1,-1,-1,-1,-1,0.11,-1,-1,0.02,0.01,0.0159028220774182,0.0504528053786623,-1,-1,-1,-1,-1,-1,-1,0.000261179318359719,-1,-1,0.00441803321055392,0.0147364904758534
PHL,Philippines,12.96136691,0.11,-1,0.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0147918668518193,-1,0.00996388629331701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BMU,Bermuda,5.476381105,-1,-1,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.77419285223481e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CAF,Central African Republic,16.49336963,0.29,-1,-1,-1,-1,-1,0.16,-1,-1,-1,-1,-1,-1,-1,0.00333303026026501,-1,-1,-1,-1,-1,0.0268076707917139,-1,-1,-1,-1,-1,-1,-1
CHL,Chile,8.056814886,-1,-1,-1,0.32,-1,-1,-1,0.12,-1,0.09,-1,0.01,0.01,-1,-1,-1,-1,0.0267800689125463,-1,-1,-1,0.00283513676260918,-1,0.0233068565680825,-1,0.046100527701262,0.00382629729078605,-1
IRL,Ireland,1.761580939,-1,-1,-1,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00547012702423693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MYT,Mayotte,5.78845861,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.00791831243702e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRK,North Korea,2.163897075,-1,-1,-1,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0095732829601265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ZAF,South Africa,7.245041357,0.12,-1,-1,-1,-1,-1,0.19,-1,-1,0.03,-1,0.19,0.03,0.13,0.00153098701337227,-1,-1,-1,-1,-1,0.00813571231135144,-1,-1,0.0780829262593661,-1,0.0297335014975104,0.0194861110234004,0.00241375067789049
JOR,Jordan,1.274968281,-1,-1,-1,-1,-1,-1,-1,0.01,-1,-1,-1,0.01,0.02,-1,-1,-1,-1,-1,-1,-1,-1,0.00114276052235514,-1,-1,-1,0.00296127884315347,0.00247711500417927,-1
SSD,South Sudan,-99,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1.10520601423029e-05,-1,-1,-1,-1,-1,0.0023699909311512,-1,0.0238289994629894,-1,-1,-1,-1,-1
TZA,Tanzania,16.9530913,0.26,-1,-1,0.27,-1,-1,0.33,-1,0.4,0.16,-1,-1,-1,0.38,0.0056357323411504,-1,-1,4.7131983016274e-07,-1,-1,0.0348205297552023,-1,0.0314450730823441,0.00442454860378204,-1,-1,-1,0.014399363246891
URY,Uruguay,0.456422255,0.67,-1,-1,-1,-1,-1,0,0.02,0,-1,-1,-1,-1,-1,1.68150292621483e-08,-1,-1,-1,-1,-1,0.00847157849108977,2.39724256565122e-05,3.29756153158725e-06,-1,-1,-1,-1,-1
SYR,Syria,0.556911184,-1,-1,-1,-1,-1,-1,-1,0.01,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0.00811353566478968,-1,-1,-1,0.0156201280650872,0.00195200257103761,-1
VEN,Venezuela,17,0.72,0.35,-1,-1,-1,-1,0.25,-1,0.39,0.78,-1,-1,0.5,0.62,0.0240816283618491,0.0301942277952649,-1,-1,-1,-1,0.0113988842911479,-1,0.00548719704427718,0.000631799768261749,-1,-1,0.00334894722226095,0.0350347829135166
MUS,Mauritius,4.813846704,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000102537029347898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SAU,Saudi Arabia,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0701144453195118,-1
ZWE,Zimbabwe,16.82391738,-1,-1,-1,-1,-1,-1,0.28,-1,-1,0.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0185103124690566,-1,-1,0.0014001479927738,-1,-1,-1,-1
BHS,Bahamas,13.90165581,-1,-1,0.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15,-1,-1,0.00939944366137837,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0185771619809455
