iso,Country,Total Score,Included on the EPI,Signature Date,Ratification Date,Points,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision
MDA,Moldova,12,Y,2001,2004,3,2,,2,,,,2,,,1,2
MDG,Madagascar,21,N,2001,2005,3,2,2,2,2,0,2,2,2,2,0,2
MDV,Maldives,3,N,,2006,3,,,,,,,,,,,
MEX,Mexico,21,Y,2001,2003,3,2,1,1,2,1,2,1,2,2,2,2
MHL,Marshall Islands,3,N,,2003,3,0,0,0,0,0,0,0,0,0,0,0
MKD,Macedonia,22,Y,2001,2004,3,2,2,2,2,,2,2,2,2,1,2
MLI,Mali,4,N,2001,2003,3,,,,,0,,,,,1,
MLT,Malta,1,Y,2001,,1,,,,,,,,,,,
MMR,Myanmar,15,Y,,2004,3,2,2,2,2,0,2,,,,0,2
MNE,Montenegro,18,N,2006,2011,3,2,2,2,2,,1,2,2,,2,
MNG,Mongolia,19,Y,2002,2004,3,2,2,2,2,0,2,2,2,0,0,2
MNP,Northern Mariana Islands,-1,,,,,,,,,,,,,,,
MOZ,Mozambique,21,Y,2001,2005,3,2,2,2,2,,2,2,2,2,0,2
MRT,Mauritania,3,N,2001,2005,3,0,0,0,0,0,0,0,0,0,0,0
MSR,Montserrat,-1,,,,,,,,,,,,,,,
MTQ,Martinique,-1,,,,,,,,,,,,,,,
MUS,Mauritius,23,N,2001,2004,3,2,2,2,2,0,2,2,2,2,2,2
MWI,Malawi,19,N,2002,2009,3,2,2,2,2,0,,2,2,2,0,2
MYS,Malaysia,20,Y,2002,,1,2,2,2,2,,2,2,2,2,1,2
MYT,Mayotte,-1,,,,,,,,,,,,,,,
NAM,Namibia,3,Y,,2005,3,,,,,,,,,,,
NCL,New Caledonia,-1,,,,,,,,,,,,,,,
NER,Niger,14,N,2001,2006,3,1,1,1,1,1,1,1,1,1,1,1
NFK,Norfolk Island,-1,,,,,,,,,,,,,,,
NGA,Nigeria,21,Y,2001,2004,3,2,2,2,2,,2,2,2,2,0,2
NIC,Nicaragua,16,Y,2001,2005,3,1,2,2,1,0,1,2,0,2,0,2
NIU,Niue,3,N,2002,2005,3,0,0,0,0,0,0,0,0,0,0,0
NLD,Netherlands,24,Y,2001,2002,3,2,2,2,2,1,2,2,2,2,2,2
NOR,Norway,23,Y,2001,2002,3,2,2,2,2,,2,2,2,2,2,2
NPL,Nepal,21,Y,2002,2007,3,2,2,2,2,,2,2,2,2,0,2
NRU,Nauru,3,N,2002,2002,3,0,0,0,0,0,0,0,0,0,0,0
NZL,New Zealand,24,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,2,2
OMN,Oman,6,Y,2002,2005,3,,,2,,,,,,,1,
PAK,Pakistan,12,Y,2001,2008,3,1,1,1,1,0,1,1,1,1,0,1
PAN,Panama,24,Y,2001,2003,3,2,2,2,2,1,2,2,2,2,2,2
PCN,Pitcairn,-1,,,,,,,,,,,,,,,
PER,Peru,21,Y,2001,2005,3,2,2,2,2,0,2,2,2,2,0,2
PHL,Philippines,18,Y,2001,2004,3,2,2,2,2,,2,2,,,1,2
PLW,Palau,3,N,2002,2011,3,,,,,,,,,,,
